,ORIGIN,count,City: Airport,name,matched_name,urls
16,EWR,5804,"Newark, NJ: Newark Liberty International", Newark Liberty International Airport,Newark Liberty International Airport,https://www.airlinequality.com/airport-reviews/newark-airport
17,JFK,5481,"New York, NY: John F. Kennedy International", John F. Kennedy International Airport,John F. Kennedy International Airport,https://www.airlinequality.com/airport-reviews/new-york-jfk-airport
18,SLC,5411,"Salt Lake City, UT: Salt Lake City International", Salt Lake City International Airport,Salt Lake City International Airport,https://www.airlinequality.com/airport-reviews/salt-lake-city-airport
19,DCA,5258,"Washington, DC: Ronald Reagan Washington National", Ronald Reagan Washington National Airport,Ronald Reagan Washington National Airport,https://www.airlinequality.com/airport-reviews/washington-reagan-national-airport
20,BWI,4709,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall", Baltimore/Washington International Thurgood Marshall Airport,Baltimore/Washington International Thurgood Marshall Airport,https://www.airlinequality.com/airport-reviews/baltimore-washington-airport
21,PHL,4396,"Philadelphia, PA: Philadelphia International", Philadelphia International Airport,Philadelphia International Airport,https://www.airlinequality.com/airport-reviews/philadelphia-airport
22,MIA,4217,"Miami, FL: Miami International", Miami International Airport,Miami International Airport,https://www.airlinequality.com/airport-reviews/miami-airport
23,FLL,4161,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International", Fort Lauderdale-Hollywood International Airport,Fort Lauderdale-Hollywood International Airport,https://www.airlinequality.com/airport-reviews/fort-lauderdale-airport
24,MDW,3966,"Chicago, IL: Chicago Midway International", Chicago Midway International Airport,Chicago Midway International Airport,https://www.airlinequality.com/airport-reviews/chicago-midway-airport
25,SAN,3911,"San Diego, CA: San Diego International", San Diego International Airport,San Diego International Airport,https://www.airlinequality.com/airport-reviews/san-diego-airport
26,TPA,3482,"Tampa, FL: Tampa International", Tampa International Airport,Tampa International Airport,https://www.airlinequality.com/airport-reviews/tampa-airport
27,BNA,3430,"Nashville, TN: Nashville International", Nashville International Airport,Nashville International Airport,https://www.airlinequality.com/airport-reviews/nashville-airport
28,DAL,3335,"Dallas, TX: Dallas Love Field", Dallas Love Field Airport,Dallas Love Field Airport,https://www.airlinequality.com/airport-reviews/dallas-love-field-airport
29,AUS,3125,"Austin, TX: Austin - Bergstrom International", Austin - Bergstrom International Airport,Bergstrom International Airport,https://www.airlinequality.com/airport-reviews/austin-airport
30,STL,2872,"St. Louis, MO: St Louis Lambert International", St Louis Lambert International Airport,St. Louis Lambert International Airport,https://www.airlinequality.com/airport-reviews/st-louis-airport
31,PDX,2833,"Portland, OR: Portland International", Portland International Airport,Portland International Airport,https://www.airlinequality.com/airport-reviews/portland-airport
